DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2011-08-15	21779381	Schurks M	2011-07-14	PLoS One	www.ncbi.nlm.nih.gov/pubmed/21779381	Genetic determinants of cardiovascular events among women with migraine: a genome-wide association study.	Cardiovascular disease risk factors	5,122 European ancestry female migrain cases	NA	20q13.33	20	63264568	intergenic	NKAIN4			ENSG00000101198			rs1406961-?	rs1406961	0	1406961	intron_variant	0	NR	5E-7	6.301029995663981	(migraineurs with aura - CVD death)	12.33	[4.62-32.87]	Illumina [339596]	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST001157	Genome-wide genotyping array
2011-08-15	21779381	Schurks M	2011-07-14	PLoS One	www.ncbi.nlm.nih.gov/pubmed/21779381	Genetic determinants of cardiovascular events among women with migraine: a genome-wide association study.	Cardiovascular disease risk factors	5,122 European ancestry female migrain cases	NA	11q23.3	11	117286177	BACE1	RNF214, BACE1			ENSG00000167257, ENSG00000186318			rs1047964-?	rs1047964	0	1047964	3_prime_UTR_variant	0	NR	8E-7	6.096910013008056	(any migraine - CVD death)	4.67	[2.53-8.62]	Illumina [339596]	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST001157	Genome-wide genotyping array
2011-08-15	21779381	Schurks M	2011-07-14	PLoS One	www.ncbi.nlm.nih.gov/pubmed/21779381	Genetic determinants of cardiovascular events among women with migraine: a genome-wide association study.	Cardiovascular disease risk factors	5,122 European ancestry female migrain cases	NA	4q22.1	4	87834676	MEPE	MEPE			ENSG00000152595			rs7698623-?	rs7698623	0	7698623	intron_variant	0	NR	3E-7	6.522878745280337	(migraineurs with aura - ischemic stroke)	6.37	[3.15-12.90]	Illumina [339596]	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST001157	Genome-wide genotyping array
2011-08-15	21779381	Schurks M	2011-07-14	PLoS One	www.ncbi.nlm.nih.gov/pubmed/21779381	Genetic determinants of cardiovascular events among women with migraine: a genome-wide association study.	Cardiovascular disease risk factors	5,122 European ancestry female migrain cases	NA	5p15.33	5	1877166	IRX4	AC025183.4 - IRX4	ENSG00000279222	ENSG00000113430		17276	247	rs4975709-?	rs4975709	0	4975709	intergenic_variant	1	NR	8E-7	6.096910013008056	(migraineurs with aura - ischemic stroke)	5.06	[2.66-9.62]	Illumina [339596]	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST001157	Genome-wide genotyping array
2011-08-15	21779381	Schurks M	2011-07-14	PLoS One	www.ncbi.nlm.nih.gov/pubmed/21779381	Genetic determinants of cardiovascular events among women with migraine: a genome-wide association study.	Cardiovascular disease risk factors	5,122 European ancestry female migrain cases	NA	6p21.1	6	41655295	MDF1	MDFI - NPM1P51	ENSG00000112559	ENSG00000230913		1049	11611	rs2143678-?	rs2143678	0	2143678	regulatory_region_variant	1	NR	4E-7	6.3979400086720375	(migraineurs with aura - major CVD)	3.05	[1.98-4.96]	Illumina [339596]	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST001157	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	2p14	2	65049318		LINC02576			ENSG00000232613			rs1009358-?	rs1009358	0	1009358	intron_variant	0	NR	2E-9	8.698970004336019				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	2p11.2	2	85983150		ST3GAL5 - POLR1A	ENSG00000115525	ENSG00000068654		77951	37066	rs3937593-?	rs3937593	0	3937593	intergenic_variant	1	NR	2E-7	6.698970004336019				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	2q14.2	2	120590036		AC073257.1 - RF00019	ENSG00000232140	ENSG00000200298		31927	61237	rs11688682-?	rs11688682	0	11688682	intergenic_variant	1	NR	2E-9	8.698970004336019				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	2q24.1	2	158455064		CCDC148			ENSG00000153237			rs55873205-?	rs55873205	0	55873205	intron_variant	0	NR	6E-8	7.221848749616356				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	2q24.3	2	164191395		AC016766.1			ENSG00000237844			rs13021222-?	rs13021222	0	13021222	intron_variant	0	NR	2E-15	14.698970004336019				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
